Route_link,Route_name
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Kozhikode to Thrissur
https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode
https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Kozhikode to Kottayam
https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Kottayam to Kozhikode
https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode
https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta,Kozhikode to Kalpetta (kerala)
https://www.redbus.in/bus-tickets/coimbatore-to-ooty,Coimbatore to Ooty
https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode,Kalpetta (kerala) to Kozhikode
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad
https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
